word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
patient,noun,病人；有耐心的,Please review the patient before the meeting.,請在會議前確認這項病人。,affected role; patient role,patient details,Business,Intermediate
payment,noun,付款,Payment is due within thirty days of receiving the invoice.,付款期限為收到發票後三十天內。,defrayal; defrayment,make a payment,Business,Intermediate
performance,noun,表現；績效,The supervisor reviewed the employee’s performance.,主管檢視了員工的績效。,public presentation; execution,performance details,Business,Intermediate
permit,noun,許可證；允許,Please review the permit before the meeting.,請在會議前確認這項許可證。,license; licence,permit details,Business,Intermediate
personnel,noun,人事；人員,Please contact personnel for information about benefits.,請聯絡人事部門詢問福利資訊。,force; personnel department,personnel information,Human Resources,Intermediate
persuade,verb,說服,Please persuade the document before Friday.,請在星期五前說服這份文件。,carry; sway,persuade a request,Business,Intermediate
phone,noun,電話,Please review the phone before the meeting.,請在會議前確認這項電話。,telephone; telephone set,phone details,Business,Intermediate
photograph,noun,照片,Please review the photograph before the meeting.,請在會議前確認這項照片。,photo; exposure,photograph details,Business,Intermediate
plan,noun,計畫,Please review the plan before the meeting.,請在會議前確認這項計畫。,program; programme,plan details,Business,Intermediate
platform,noun,月台；平台,Please review the platform before the meeting.,請在會議前確認這項月台。,political platform; political program,platform details,Business,Intermediate
pleased,adjective,高興的；滿意的,The company needs a pleased solution for this issue.,公司需要一個高興的的解決方案來處理這個問題。,proud of,pleased policy,Business,Intermediate
policy,noun,政策；規定,The company updated its return policy.,公司更新了退貨政策。,insurance policy; insurance,policy details,Business,Intermediate
popular,adjective,受歡迎的,The company needs a popular solution for this issue.,公司需要一個受歡迎的的解決方案來處理這個問題。,democratic,popular policy,Business,Intermediate
position,noun,職位；位置,She applied for a marketing position.,她申請了一個行銷職位。,place; military position,position details,Business,Intermediate
postpone,verb,延期,Please postpone the document before Friday.,請在星期五前延期這份文件。,prorogue; hold over,postpone a request,Business,Intermediate
practical,adjective,實用的,The company needs a practical solution for this issue.,公司需要一個實用的的解決方案來處理這個問題。,hardheaded; hard-nosed,practical policy,Business,Intermediate
prepare,verb,準備,Please prepare the document before Friday.,請在星期五前準備這份文件。,fix; set up,prepare a request,Business,Intermediate
presentation,noun,簡報,The presentation will begin at ten o’clock.,簡報將在十點開始。,presentment; demonstration,give a presentation,Office,Intermediate
previous,adjective,先前的,The company needs a previous solution for this issue.,公司需要一個先前的的解決方案來處理這個問題。,old; former,previous policy,Business,Intermediate
price,noun,價格,The price includes tax and shipping.,價格包含稅金和運費。,monetary value; cost,price information,Shopping,Intermediate
procedure,noun,程序,Please follow the safety procedure carefully.,請仔細遵守安全程序。,process; operation,procedure details,Business,Intermediate
process,noun,流程；處理,Please review the process before the meeting.,請在會議前確認這項流程。,procedure; cognitive process,process details,Business,Intermediate
produce,verb,生產,Please produce the document before Friday.,請在星期五前生產這份文件。,bring forth; make,produce a request,Business,Intermediate
product,noun,產品,The product will be available next month.,這項產品下個月會上市。,merchandise; ware,product details,Business,Intermediate
production,noun,生產,Please review the production before the meeting.,請在會議前確認這項生產。,product,production details,Business,Intermediate
productive,adjective,有生產力的,The company needs a productive solution for this issue.,公司需要一個有生產力的的解決方案來處理這個問題。,generative,productive policy,Business,Intermediate
profit,noun,利潤,Please review the profit before the meeting.,請在會議前確認這項利潤。,net income; net,profit details,Business,Intermediate
program,noun,計畫；節目,Please review the program before the meeting.,請在會議前確認這項計畫。,plan; programme,program details,Business,Intermediate
progress,noun,進展,Please review the progress before the meeting.,請在會議前確認這項進展。,advancement; progression,progress details,Business,Intermediate
project,noun,專案,Please review the project before the meeting.,請在會議前確認這項專案。,undertaking; task,project details,Business,Intermediate
promote,verb,促銷；升遷,Please promote the document before Friday.,請在星期五前促銷這份文件。,advance; boost,promote a request,Business,Intermediate
promotion,noun,促銷；升遷,Please review the promotion before the meeting.,請在會議前確認這項促銷。,publicity; promotional material,promotion details,Business,Intermediate
proper,adjective,適當的,The company needs a proper solution for this issue.,公司需要一個適當的的解決方案來處理這個問題。,-,proper policy,Business,Intermediate
proposal,noun,提案,The client accepted our proposal.,客戶接受了我們的提案。,marriage proposal; proposal of marriage,submit a proposal,Business,Intermediate
protect,verb,保護,Please protect the document before Friday.,請在星期五前保護這份文件。,-,protect a request,Business,Intermediate
purchase,noun,購買；採購,Please keep the receipt after each purchase.,每次購買後請保留收據。,buy; acquire,make a purchase,Shopping,Intermediate
punctual,adjective,準時的,The company needs a punctual solution for this issue.,公司需要一個準時的的解決方案來處理這個問題。,-,punctual policy,Business,Intermediate
qualify,verb,符合資格,Please qualify the document before Friday.,請在星期五前符合資格這份文件。,measure up; restrict,qualify a request,Business,Intermediate
qualification,noun,資格,This position requires a technical qualification.,這個職位需要技術資格。,making; reservation,qualification information,Human Resources,Intermediate
qualified,adjective,合格的,The company needs a qualified solution for this issue.,公司需要一個合格的的解決方案來處理這個問題。,certified,qualified policy,Business,Intermediate
quality,noun,品質,The company is known for high product quality.,這家公司以高產品品質聞名。,caliber; calibre,quality details,Business,Intermediate
quantity,noun,數量,Please confirm the quantity before placing the order.,下訂單前請確認數量。,measure; amount,quantity details,Business,Intermediate
quarterly,adjective,每季的,The company needs a quarterly solution for this issue.,公司需要一個每季的的解決方案來處理這個問題。,-,quarterly policy,Business,Intermediate
quote,noun,報價,The supplier sent a quote for the new equipment.,供應商寄來了新設備的報價。,quotation mark; inverted comma,quote details,Business,Intermediate
raise,noun,加薪；提高,Please review the raise before the meeting.,請在會議前確認這項加薪。,rise; wage hike,raise details,Business,Intermediate
receive,verb,收到,You will receive a confirmation email shortly.,你很快會收到確認電子郵件。,have; get,receive a request,Business,Intermediate
receptionist,noun,接待員,Please review the receptionist before the meeting.,請在會議前確認這項接待員。,-,receptionist details,Business,Intermediate
recruit,verb,招募,Please recruit the document before Friday.,請在星期五前招募這份文件。,enroll; inscribe,recruit a request,Human Resources,Intermediate
recruitment,noun,招募,Recruitment for the internship program begins in May.,實習計畫的招募於五月開始。,enlisting,recruitment details,Business,Intermediate
reduce,verb,減少,Please reduce the document before Friday.,請在星期五前減少這份文件。,cut down; cut back,reduce a request,Business,Intermediate
reduction,noun,減少,Please review the reduction before the meeting.,請在會議前確認這項減少。,decrease; diminution,reduction details,Business,Intermediate
refer,verb,參考；提及,Please refer to the attached document for details.,詳情請參考附件文件。,mention; advert,refer a request,Business,Intermediate
reference,noun,參考資料；推薦人,Please review the reference before the meeting.,請在會議前確認這項參考資料。,mention; citation,reference details,Business,Intermediate
refund,noun,退款,The customer requested a refund for the defective item.,顧客要求退還瑕疵商品的款項。,repayment; reimbursement,request a refund,Shopping,Intermediate
register,verb,登記；註冊,Please register the document before Friday.,請在星期五前登記這份文件。,file,register a request,Business,Intermediate
registration,noun,登記；註冊,Online registration closes on Friday.,線上報名將於星期五截止。,enrollment; enrolment,registration details,Business,Intermediate
regular,adjective,定期的；規律的,The company needs a regular solution for this issue.,公司需要一個定期的的解決方案來處理這個問題。,veritable,regular policy,Business,Intermediate
regulation,noun,規定,Please review the regulation before the meeting.,請在會議前確認這項規定。,ordinance; rule,regulation details,Business,Intermediate
reimburse,verb,報銷,Please reimburse the document before Friday.,請在星期五前報銷這份文件。,recoup,reimburse a request,Business,Intermediate
reimbursement,noun,報銷,Employees can request reimbursement for travel expenses.,員工可以申請差旅費報銷。,-,reimbursement details,Business,Intermediate
related,adjective,相關的,The company needs a related solution for this issue.,公司需要一個相關的的解決方案來處理這個問題。,related to,related policy,Business,Intermediate
relocate,verb,搬遷,Please relocate the document before Friday.,請在星期五前搬遷這份文件。,-,relocate a request,Business,Intermediate
renewal,noun,續約；更新,Please review the renewal before the meeting.,請在會議前確認這項續約。,reclamation; rehabilitation,renewal details,Business,Intermediate
repair,noun,修理,The repair will take about two days.,修理大約需要兩天。,fix; fixing,repair details,Business,Intermediate
replacement,noun,替換,Please review the replacement before the meeting.,請在會議前確認這項替換。,replacing; surrogate,replacement details,Business,Intermediate
report,noun,報告,The annual report will be sent to all shareholders.,年度報告將寄給所有股東。,statement; account,annual report,Business,Intermediate
representative,noun,代表；客服人員,Please review the representative before the meeting.,請在會議前確認這項代表。,spokesperson; interpreter,representative information,Customer Service,Intermediate
request,noun,請求,The manager approved the employee’s request for leave.,經理核准了員工的請假請求。,appeal; demand,request information,Customer Service,Intermediate
require,verb,要求,Please require the document before Friday.,請在星期五前要求這份文件。,need; demand,require a request,Business,Intermediate
requirement,noun,要求；條件,Experience in sales is a requirement for this position.,銷售經驗是這個職位的條件。,demand; necessity,requirement details,Business,Intermediate
reservation,noun,預約,Please review the reservation before the meeting.,請在會議前確認這項預約。,booking; appointment,make a reservation,Travel,Intermediate
reserve,verb,預訂；保留,Please reserve the document before Friday.,請在星期五前預訂這份文件。,allow; appropriate,reserve a request,Business,Intermediate
resident,noun,居民,Please review the resident before the meeting.,請在會議前確認這項居民。,occupant; occupier,resident details,Business,Intermediate
respond,verb,回應,Please respond to the client by the end of the day.,請在今天結束前回覆客戶。,react; answer,respond promptly,Customer Service,Intermediate
response,noun,回覆,We received a quick response from customer service.,我們很快收到客服的回覆。,reaction; answer,response information,Customer Service,Intermediate
result,noun,結果,Please review the result before the meeting.,請在會議前確認這項結果。,consequence; effect,result details,Business,Intermediate
retail,noun,零售,Please review the retail before the meeting.,請在會議前確認這項零售。,-,retail information,Shopping,Intermediate
retire,verb,退休,Several employees plan to retire next year.,有幾位員工計畫明年退休。,withdraw; retreat,retire promptly,Business,Intermediate
retirement,noun,退休,Please review the retirement before the meeting.,請在會議前確認這項退休。,retreat,retirement details,Business,Intermediate
return,noun,退回；返回,Please review the return before the meeting.,請在會議前確認這項退回。,tax return; income tax return,return details,Business,Intermediate
revenue,noun,收入,The company’s revenue increased by fifteen percent.,公司的收入增加了百分之十五。,gross; receipts,revenue details,Business,Intermediate
revise,verb,修改,Please revise the document before Friday.,請在星期五前修改這份文件。,retool,revise a request,Business,Intermediate
review,noun,審查；評論,Please review the review before the meeting.,請在會議前確認這項審查。,reappraisal; revaluation,review details,Business,Intermediate
reward,noun,獎勵,Please review the reward before the meeting.,請在會議前確認這項獎勵。,wages; payoff,reward details,Business,Intermediate
route,noun,路線,The bus route stops near the office.,這條公車路線會停靠在辦公室附近。,path; itinerary,route information,Travel,Intermediate
salary,noun,薪水,The salary will be discussed during the interview.,薪資將在面試時討論。,wage; pay,salary information,Human Resources,Intermediate
sale,noun,銷售；特價,Please review the sale before the meeting.,請在會議前確認這項銷售。,cut-rate sale; sales event,sale information,Shopping,Intermediate
sample,noun,樣品,Please review the sample before the meeting.,請在會議前確認這項樣品。,sample distribution; sampling,sample details,Business,Intermediate
schedule,noun,時程；安排,The schedule includes two training sessions.,時程包含兩場訓練課程。,timetable; agenda,work schedule,Office,Intermediate
secretary,noun,秘書,Please review the secretary before the meeting.,請在會議前確認這項秘書。,secretarial assistant; repository,secretary details,Business,Intermediate
section,noun,部門；區段,Please review the section before the meeting.,請在會議前確認這項部門。,subdivision,section details,Business,Intermediate
secure,verb,安全的；保護,Please secure the document before Friday.,請在星期五前安全的這份文件。,procure; fasten,secure a request,Business,Intermediate
security,noun,安全；保全,Please review the security before the meeting.,請在會議前確認這項安全。,protection,security details,Business,Intermediate
seminar,noun,研討會,The seminar will focus on workplace safety.,研討會將聚焦於職場安全。,-,seminar details,Business,Intermediate
service,noun,服務,The hotel is known for excellent service.,這家飯店以優良服務聞名。,religious service; divine service,service information,Customer Service,Intermediate
session,noun,一段時間；會議,Please review the session before the meeting.,請在會議前確認這項一段時間。,school term; academic term,session details,Business,Intermediate
shipment,noun,出貨；貨運,The shipment is expected to arrive next Tuesday.,這批貨預計下週二抵達。,delivery; consignment,track a shipment,Business,Intermediate
shipping,noun,運送,Please review the shipping before the meeting.,請在會議前確認這項運送。,transportation; transport,shipping details,Business,Intermediate
shopper,noun,購物者,Please review the shopper before the meeting.,請在會議前確認這項購物者。,-,shopper information,Shopping,Intermediate
shortage,noun,短缺,Please review the shortage before the meeting.,請在會議前確認這項短缺。,deficit; shortfall,shortage details,Business,Intermediate
signature,noun,簽名,Your signature is required at the bottom of the form.,表格底部需要您的簽名。,touch; signature tune,signature details,Business,Intermediate
staff,noun,員工,The staff attended a training workshop.,員工參加了一場訓練工作坊。,faculty,staff details,Business,Intermediate
statement,noun,報表；聲明,The bank statement shows all recent transactions.,銀行對帳單顯示所有近期交易。,argument,statement details,Business,Intermediate
stock,noun,庫存；股票,The item is currently out of stock.,該商品目前缺貨。,inventory; gunstock,stock details,Business,Intermediate
strategy,noun,策略,Please review the strategy before the meeting.,請在會議前確認這項策略。,scheme,strategy details,Business,Intermediate
submit,verb,提交,Please submit the document before Friday.,請在星期五前提交這份文件。,subject; state,submit a request,Business,Intermediate
subscription,noun,訂閱,Please review the subscription before the meeting.,請在會議前確認這項訂閱。,-,subscription details,Business,Intermediate
subsidy,noun,補助金,Please review the subsidy before the meeting.,請在會議前確認這項補助金。,-,subsidy details,Business,Intermediate
success,noun,成功,Please review the success before the meeting.,請在會議前確認這項成功。,-,success details,Business,Intermediate
successful,adjective,成功的,The company needs a successful solution for this issue.,公司需要一個成功的的解決方案來處理這個問題。,-,successful policy,Business,Intermediate
suggest,verb,建議,Please suggest the document before Friday.,請在星期五前建議這份文件。,propose; advise,suggest a request,Business,Intermediate
suggestion,noun,建議,Please review the suggestion before the meeting.,請在會議前確認這項建議。,proposition; proffer,suggestion details,Business,Intermediate
suitable,adjective,合適的,The company needs a suitable solution for this issue.,公司需要一個合適的的解決方案來處理這個問題。,suited; desirable,suitable policy,Business,Intermediate
supervisor,noun,主管,Please review the supervisor before the meeting.,請在會議前確認這項主管。,manager; overseer,supervisor information,Human Resources,Intermediate
supplier,noun,供應商,The supplier delivered the materials on time.,供應商準時交付材料。,vendor; provider,local supplier,Business,Intermediate
supply,noun,供應,Please review the supply before the meeting.,請在會議前確認這項供應。,provision; supplying,supply details,Business,Intermediate
support,noun,支援,Please review the support before the meeting.,請在會議前確認這項支援。,-,support information,Customer Service,Intermediate
survey,noun,問卷；調查,The company conducted a customer satisfaction survey.,公司進行了一項顧客滿意度調查。,study; sketch,customer survey,Business,Intermediate
tax,noun,稅,The price does not include sales tax.,價格不包含銷售稅。,taxation; revenue enhancement,tax details,Business,Intermediate
technician,noun,技術人員,Please review the technician before the meeting.,請在會議前確認這項技術人員。,-,technician details,Business,Intermediate
telephone,noun,電話,Please review the telephone before the meeting.,請在會議前確認這項電話。,phone; telephone set,telephone details,Business,Intermediate
temporary,adjective,暫時的,The company needs a temporary solution for this issue.,公司需要一個暫時的的解決方案來處理這個問題。,impermanent; irregular,temporary policy,Business,Intermediate
tenant,noun,租戶,The tenant reported a problem with the air conditioner.,租戶回報空調有問題。,renter,tenant details,Business,Intermediate
terminate,verb,終止,Please terminate the document before Friday.,請在星期五前終止這份文件。,end; stop,terminate a request,Business,Intermediate
ticket,noun,票,Please keep your ticket until the end of the trip.,請保留票券直到旅程結束。,tag,ticket information,Travel,Intermediate
timely,adjective,及時的,The company needs a timely solution for this issue.,公司需要一個及時的的解決方案來處理這個問題。,seasonable; well-timed,timely policy,Business,Intermediate
tour,noun,旅遊,Please review the tour before the meeting.,請在會議前確認這項旅遊。,circuit; go,tour information,Travel,Intermediate
track,noun,追蹤；軌道,Please review the track before the meeting.,請在會議前確認這項追蹤。,path; course,track details,Business,Intermediate
trade,noun,貿易,Please review the trade before the meeting.,請在會議前確認這項貿易。,craft; patronage,trade details,Business,Intermediate
train,verb,訓練；火車,Please train the document before Friday.,請在星期五前訓練這份文件。,develop; prepare,train a request,Business,Intermediate
training,noun,訓練,Please review the training before the meeting.,請在會議前確認這項訓練。,preparation; grooming,training information,Human Resources,Intermediate
transfer,noun,轉移；轉接,Please review the transfer before the meeting.,請在會議前確認這項轉移。,transportation; transport,transfer details,Business,Intermediate
transportation,noun,交通；運輸,Please review the transportation before the meeting.,請在會議前確認這項交通。,transportation system; transit,transportation information,Travel,Intermediate
travel,noun,旅行,Please review the travel before the meeting.,請在會議前確認這項旅行。,traveling; travelling,travel information,Travel,Intermediate
trend,noun,趨勢,Please review the trend before the meeting.,請在會議前確認這項趨勢。,tendency; course,trend details,Business,Intermediate
trip,noun,旅行,Please review the trip before the meeting.,請在會議前確認這項旅行。,slip,trip information,Travel,Intermediate
update,noun,更新,Please review the update before the meeting.,請在會議前確認這項更新。,-,update details,Business,Intermediate
upgrade,noun,升級,Please review the upgrade before the meeting.,請在會議前確認這項升級。,ascent; acclivity,upgrade details,Business,Intermediate
urgent,adjective,緊急的,The company needs an urgent solution for this issue.,公司需要一個緊急的的解決方案來處理這個問題。,pressing; immediate,urgent policy,Business,Intermediate
vacancy,noun,職缺,Please review the vacancy before the meeting.,請在會議前確認這項職缺。,void; emptiness,vacancy information,Human Resources,Intermediate
vacation,noun,假期,Please review the vacation before the meeting.,請在會議前確認這項假期。,holiday,vacation details,Business,Intermediate
valid,adjective,有效的,The company needs a valid solution for this issue.,公司需要一個有效的的解決方案來處理這個問題。,effective; legitimate,valid policy,Business,Intermediate
vehicle,noun,車輛,Please review the vehicle before the meeting.,請在會議前確認這項車輛。,car; automobile,vehicle information,Travel,Intermediate
venue,noun,場地,Please review the venue before the meeting.,請在會議前確認這項場地。,locale; locus,venue details,Business,Intermediate
vendor,noun,供應商,The vendor provided a detailed price list.,供應商提供了一份詳細價目表。,seller; marketer,approved vendor,Business,Intermediate
warranty,noun,保固,Please review the warranty before the meeting.,請在會議前確認這項保固。,guarantee; assurance,warranty period,Shopping,Intermediate
warehouse,noun,倉庫,The warehouse stores finished products before shipment.,倉庫在出貨前存放成品。,storage facility; depot,warehouse inventory,Business,Intermediate
website,noun,網站,Customers can track their orders on the website.,顧客可以在網站上追蹤訂單。,site; webpage,website details,Business,Intermediate
withdraw,verb,提領；撤回,You can withdraw cash from the bank machine.,你可以從提款機提領現金。,retreat; pull away,withdraw a request,Business,Intermediate
workshop,noun,工作坊,The workshop teaches practical presentation skills.,工作坊教授實用的簡報技巧。,shop,workshop details,Business,Intermediate
resume,noun,履歷表,Please review the resume before the meeting.,請在會議前確認這項履歷表。,sketch; survey,submit a resume,Human Resources,Intermediate
opening,noun,職缺；開幕,Please review the opening before the meeting.,請在會議前確認這項職缺。,gap,job opening,Human Resources,Intermediate
prerequisite,noun,先決條件,Please review the prerequisite before the meeting.,請在會議前確認這項先決條件。,requirement,prerequisite information,Human Resources,Advanced
confidence,noun,信心；信任,Please review the confidence before the meeting.,請在會議前確認這項信心。,assurance; self-assurance,confidence details,Business,Intermediate
confident,adjective,有信心的,The company needs a confident solution for this issue.,公司需要一個有信心的的解決方案來處理這個問題。,convinced; positive,confident policy,Business,Intermediate
professional,adjective,專業的,The company needs a professional solution for this issue.,公司需要一個專業的的解決方案來處理這個問題。,-,professional service,Human Resources,Intermediate
profession,noun,職業；專業,Please review the profession before the meeting.,請在會議前確認這項職業。,professing,profession information,Human Resources,Intermediate
identify,verb,辨認；確認,Please identify the document before Friday.,請在星期五前辨認這份文件。,place; name,identify a request,Business,Intermediate
identification,noun,身分證明；識別,Please review the identification before the meeting.,請在會議前確認這項身分證明。,designation,identification details,Business,Intermediate
associate,verb,聯想；使有關聯,Please associate the document before Friday.,請在星期五前聯想這份文件。,tie in; relate,associate a request,Business,Intermediate
association,noun,協會；關聯,Please review the association before the meeting.,請在會議前確認這項協會。,-,association details,Business,Intermediate
unemployment,noun,失業,Please review the unemployment before the meeting.,請在會議前確認這項失業。,-,unemployment information,Human Resources,Intermediate
lack,verb,缺乏,Please lack the document before Friday.,請在星期五前缺乏這份文件。,miss,lack a request,Business,Intermediate
managerial,adjective,管理的,The company needs a managerial solution for this issue.,公司需要一個管理的的解決方案來處理這個問題。,-,managerial service,Human Resources,Advanced
capability,noun,能力；性能,Please review the capability before the meeting.,請在會議前確認這項能力。,capableness; capacity,capability information,Human Resources,Intermediate
layoff,noun,裁員,Please review the layoff before the meeting.,請在會議前確認這項裁員。,-,layoff information,Human Resources,Advanced
dismiss,verb,解雇；駁回,Please dismiss the document before Friday.,請在星期五前解雇這份文件。,disregard; brush aside,dismiss a request,Human Resources,Intermediate
coordinate,verb,協調；配合,Please coordinate the document before Friday.,請在星期五前協調這份文件。,organize; organise,coordinate a request,Business,Intermediate
expertise,noun,專業知識；專長,Please review the expertise before the meeting.,請在會議前確認這項專業知識。,expertness,expertise information,Human Resources,Advanced
proficiency,noun,熟練；精通,Please review the proficiency before the meeting.,請在會議前確認這項熟練。,technique,proficiency information,Human Resources,Advanced
inexperienced,adjective,缺乏經驗的,The company needs an inexperienced solution for this issue.,公司需要一個缺乏經驗的的解決方案來處理這個問題。,inexperient,inexperienced service,Human Resources,Intermediate
regularly,adverb,定期地,The staff handled the request regularly.,員工以定期地的方式處理這項請求。,on a regular basis,respond regularly,Office,Intermediate
overtime,noun,加班時間,Please review the overtime before the meeting.,請在會議前確認這項加班時間。,extra time,overtime information,Human Resources,Intermediate
shift,noun,輪班；轉變,Please review the shift before the meeting.,請在會議前確認這項輪班。,displacement; transformation,shift information,Human Resources,Intermediate
colleague,noun,同事,Please review the colleague before the meeting.,請在會議前確認這項同事。,co-worker; fellow worker,colleague information,Human Resources,Intermediate
task,noun,任務；工作,Please review the task before the meeting.,請在會議前確認這項任務。,undertaking; project,task information,Office,Basic
extension,noun,延長；分機,Please review the extension before the meeting.,請在會議前確認這項延長。,propagation,extension information,Office,Intermediate
directory,noun,名錄；目錄,Please review the directory before the meeting.,請在會議前確認這項名錄。,-,directory information,Office,Intermediate
duplicate,verb,複製,Please duplicate the document before Friday.,請在星期五前複製這份文件。,reduplicate; double,duplicate a request,Office,Intermediate
filing,noun,歸檔,Please review the filing before the meeting.,請在會議前確認這項歸檔。,-,filing information,Office,Intermediate
postage,noun,郵資,Please review the postage before the meeting.,請在會議前確認這項郵資。,postage stamp; stamp,postage information,Office,Intermediate
portfolio,noun,作品集；投資組合,Please review the portfolio before the meeting.,請在會議前確認這項作品集。,-,portfolio details,Business,Advanced
stapler,noun,訂書機,Please review the stapler before the meeting.,請在會議前確認這項訂書機。,stapling machine,stapler information,Office,Basic
cabinet,noun,櫥櫃；內閣,Please review the cabinet before the meeting.,請在會議前確認這項櫥櫃。,locker; storage locker,cabinet information,Office,Basic
calendar,noun,行事曆；日曆,Please review the calendar before the meeting.,請在會議前確認這項行事曆。,-,calendar information,Office,Basic
workforce,noun,勞動力；員工總數,Please review the workforce before the meeting.,請在會議前確認這項勞動力。,work force; manpower,workforce information,Human Resources,Intermediate
strike,noun,罷工；打擊,Please review the strike before the meeting.,請在會議前確認這項罷工。,work stoppage; rap,strike information,Human Resources,Intermediate
typist,noun,打字員,Please review the typist before the meeting.,請在會議前確認這項打字員。,-,typist information,Office,Basic
allocate,verb,分配；撥出,Please allocate the document before Friday.,請在星期五前分配這份文件。,apportion,allocate a request,Business,Advanced
collaboration,noun,合作,Please review the collaboration before the meeting.,請在會議前確認這項合作。,coaction; collaborationism,collaboration details,Business,Intermediate
consultation,noun,諮詢；會商,Please review the consultation before the meeting.,請在會議前確認這項諮詢。,audience; interview,consultation details,Business,Intermediate
curriculum,noun,課程；履歷資料,Please review the curriculum before the meeting.,請在會議前確認這項課程。,course of study; program,curriculum information,Human Resources,Advanced
vice,adjective,副的,The company needs a vice solution for this issue.,公司需要一個副的的解決方案來處理這個問題。,-,vice policy,Business,Advanced
president,noun,總裁；總經理,Please review the president before the meeting.,請在會議前確認這項總裁。,United States President; Chief Executive,president details,Business,Intermediate
shareholder,noun,股東,Please review the shareholder before the meeting.,請在會議前確認這項股東。,stockholder; shareowner,shareholder details,Business,Intermediate
salesperson,noun,銷售員,Please review the salesperson before the meeting.,請在會議前確認這項銷售員。,sales representative; sales rep,salesperson information,Shopping,Basic
represent,verb,代表,Please represent the document before Friday.,請在星期五前代表這份文件。,stand for; correspond,represent a request,Business,Intermediate
spectator,noun,觀眾；旁觀者,Please review the spectator before the meeting.,請在會議前確認這項觀眾。,witness; viewer,spectator details,Business,Intermediate
novice,noun,新手；初學者,Please review the novice before the meeting.,請在會議前確認這項新手。,novitiate; beginner,novice information,Human Resources,Advanced
plumber,noun,水電工,Please review the plumber before the meeting.,請在會議前確認這項水電工。,pipe fitter,plumber details,Business,Intermediate
accountant,noun,會計師,Please review the accountant before the meeting.,請在會議前確認這項會計師。,comptroller; controller,accountant details,Business,Basic
assistant,noun,助理,Please review the assistant before the meeting.,請在會議前確認這項助理。,helper; help,assistant information,Human Resources,Basic
sales,noun,銷售額；銷售部門,Please review the sales before the meeting.,請在會議前確認這項銷售額。,gross sales; gross revenue,sales information,Shopping,Basic
reputation,noun,名聲；聲譽,Please review the reputation before the meeting.,請在會議前確認這項名聲。,repute; report,reputation details,Business,Intermediate
recommend,verb,推薦；建議,Please recommend the document before Friday.,請在星期五前推薦這份文件。,urge; advocate,recommend a request,Business,Basic
recommendation,noun,推薦；建議,Please review the recommendation before the meeting.,請在會議前確認這項推薦。,testimonial; good word,recommendation details,Business,Intermediate
excellent,adjective,優秀的；傑出的,The company needs an excellent solution for this issue.,公司需要一個優秀的的解決方案來處理這個問題。,first-class; fantabulous,excellent policy,Business,Basic
impressive,adjective,令人印象深刻的,The company needs an impressive solution for this issue.,公司需要一個令人印象深刻的的解決方案來處理這個問題。,telling,impressive policy,Business,Intermediate
achievement,noun,成就；達成,Please review the achievement before the meeting.,請在會議前確認這項成就。,accomplishment,achievement details,Business,Intermediate
eligibility,noun,合格資格,Please review the eligibility before the meeting.,請在會議前確認這項合格資格。,-,eligibility information,Human Resources,Advanced
ineligible,adjective,不符合資格的,The company needs an ineligible solution for this issue.,公司需要一個不符合資格的的解決方案來處理這個問題。,-,ineligible service,Human Resources,Advanced
allowed,adjective,被允許的,The company needs an allowed solution for this issue.,公司需要一個被允許的的解決方案來處理這個問題。,-,allowed policy,Business,Intermediate
fulfill,verb,履行；滿足,Please fulfill the document before Friday.,請在星期五前履行這份文件。,carry through; accomplish,fulfill a request,Business,Intermediate
satisfy,verb,滿足；使滿意,Please satisfy the document before Friday.,請在星期五前滿足這份文件。,fulfill; fulfil,satisfy a request,Customer Service,Intermediate
need,noun,需求；需要,Please review the need before the meeting.,請在會議前確認這項需求。,demand; want,need details,Business,Basic
customer-oriented,adjective,以顧客為導向的,The company needs a customer oriented solution for this issue.,公司需要一個以顧客為導向的的解決方案來處理這個問題。,-,customer-oriented service,Customer Service,Advanced
courteous,adjective,有禮貌的,The company needs a courteous solution for this issue.,公司需要一個有禮貌的的解決方案來處理這個問題。,gracious; nice,courteous service,Customer Service,Intermediate
courtesy,noun,禮貌；好意,Please review the courtesy before the meeting.,請在會議前確認這項禮貌。,good manners,courtesy information,Customer Service,Intermediate
prompt,adjective,迅速的；準時的,The company needs a prompt solution for this issue.,公司需要一個迅速的的解決方案來處理這個問題。,immediate; quick,prompt service,Customer Service,Intermediate
promptly,adverb,迅速地,The staff handled the request promptly.,員工以迅速地的方式處理這項請求。,quickly; quick,respond promptly,Customer Service,Intermediate
apology,noun,道歉,Please review the apology before the meeting.,請在會議前確認這項道歉。,apologia; excuse,apology information,Customer Service,Intermediate
resolve,verb,解決,Please resolve the document before Friday.,請在星期五前解決這份文件。,decide; settle,resolve a request,Customer Service,Intermediate
resolution,noun,解決；決議,Please review the resolution before the meeting.,請在會議前確認這項解決。,declaration; resolve,resolution information,Customer Service,Intermediate
satisfaction,noun,滿意；滿足,Please review the satisfaction before the meeting.,請在會議前確認這項滿意。,gratification; atonement,satisfaction information,Customer Service,Intermediate
dissatisfied,adjective,不滿意的,The company needs a dissatisfied solution for this issue.,公司需要一個不滿意的的解決方案來處理這個問題。,disgruntled,dissatisfied service,Customer Service,Intermediate
